Item,Data do lançamento,Lançamentos de ENTRADA: quantidade,Lançamentos de ENTRADA: valor,Lançamentos de SAIDA: quantidade,Lançamentos de SAIDA: valor,Saldo Inicial em quantidade,Saldo Inicial em valor,Saldo Final em quantidade,Saldo Final em valor
10.01.206-6,2012-08-01,0.0,0.0,0.598,1.18,4336.7272,8238.98,3217.5448000000006,6032.910000000001
10.01.206-6,2012-08-02,0.0,0.0,10.8994,21.48,4336.7272,8238.98,2610.8182,4848.210000000001
10.01.206-6,2012-08-03,0.0,0.0,2.8975,5.72,4336.7272,8238.98,1822.0005999999998,3293.3300000000017
10.01.206-6,2012-08-06,0.0,0.0,3.9981,7.88,4336.7272,8238.98,1085.8486,1842.2800000000013
10.01.206-6,2012-08-07,0.0,0.0,363.7577,717.02,4336.7272,8238.98,5166.6344,9948.48
10.01.206-6,2012-08-08,0.0,0.0,4.4979,8.86,4336.7272,8238.98,4811.533199999999,9248.529999999999
10.01.206-6,2012-08-09,0.0,0.0,391.7213,772.14,4336.7272,8238.98,3404.6159999999986,6475.299999999998
10.01.206-6,2012-08-10,0.0,0.0,5.5985,11.03,4336.7272,8238.98,2049.0835999999986,3803.339999999998
10.01.206-6,2012-08-13,0.0,0.0,4.4979,8.86,4336.7272,8238.98,1874.7520999999986,3471.2099999999973
10.01.206-6,2012-08-14,0.0,0.0,114.3502,225.4,4336.7272,8238.98,8693.274199999996,17012.269999999993
10.01.206-6,2012-08-15,0.0,0.0,4.1974,8.27,4336.7272,8238.98,8689.076799999997,17003.999999999993
10.01.206-6,2012-08-16,0.0,0.0,199.2405,392.74,4336.7272,8238.98,7329.925799999997,14324.899999999992
10.01.206-6,2012-08-17,0.0,0.0,3.8999,7.69,4336.7272,8238.98,6053.7959999999985,11809.439999999993
10.01.206-6,2012-08-20,0.0,0.0,4.9976,9.85,4336.7272,8238.98,6111.410699999997,11940.069999999996
10.01.206-6,2012-08-21,0.0,0.0,6.7973,13.39,4336.7272,8238.98,4934.167499999996,9619.569999999998
10.01.206-6,2012-08-22,57.6749,113.69,0.0,0.0,4336.7272,8238.98,4992.332799999995,9751.389999999996
10.01.206-6,2012-08-23,0.0,0.0,5.1998,10.25,4336.7272,8238.98,3802.3958999999954,7405.839999999996
10.01.206-6,2012-08-24,0.0,0.0,5.9971,11.82,4336.7272,8238.98,2526.3652999999954,4890.599999999996
10.01.206-6,2012-08-27,0.0,0.0,4.1974,8.27,4336.7272,8238.98,1605.595399999995,3075.629999999996
10.01.206-6,2012-08-28,0.0,0.0,4.7983,9.46,4336.7272,8238.98,3052.2493999999956,5961.429999999998
10.01.206-6,2012-08-29,0.0,0.0,3.8999,7.69,4336.7272,8238.98,7084.9194999999945,13965.399999999998
10.01.206-6,2012-08-30,0.0,0.0,29.5802,58.31,4336.7272,8238.98,5999.116999999995,11825.119999999997
10.01.206-6,2012-08-31,0.0,0.0,41.0631,80.94,4336.7272,8238.98,4743.137899999993,9349.409999999996
10.01.206-6,2012-09-03,0.0,0.0,4.599,9.14,4336.7272,8238.98,3829.529399999994,7535.789999999997
10.01.206-6,2012-09-04,0.0,0.0,24.1619,48.0,4336.7272,8238.98,2668.477699999994,5229.089999999997
10.01.206-6,2012-09-05,0.0,0.0,6.1994,12.31,4336.7272,8238.98,13061.438799999994,25915.289999999994
10.01.206-6,2012-09-06,0.0,0.0,2.0973,4.17,4336.7272,8238.98,12557.701099999995,24916.469999999994
10.01.206-6,2012-09-10,0.0,0.0,64.3162,127.78,4336.7272,8238.98,12097.036799999994,24003.24999999999
10.01.206-6,2012-09-11,0.0,0.0,411.3073,817.15,4336.7272,8238.98,10905.965299999994,21636.919999999987
10.01.206-6,2012-09-12,0.0,0.0,7.1989,14.3,4336.7272,8238.98,10737.964799999994,21303.149999999987
10.01.206-6,2012-09-13,0.0,0.0,113.6662,225.83,4336.7272,8238.98,9516.205799999994,18875.82999999999
10.01.206-6,2012-09-14,0.0,0.0,6.6991,13.31,4336.7272,8238.98,8515.971699999991,16888.63999999999
10.01.206-6,2012-09-17,0.0,0.0,4.0992,8.15,4336.7272,8238.98,7301.6171999999915,14476.039999999986
10.01.206-6,2012-09-18,0.0,0.0,3.0997,6.16,4336.7272,8238.98,5866.186799999991,11624.229999999989
10.01.206-6,2012-09-19,0.0,0.0,2.8975,5.76,4336.7272,8238.98,4717.5623999999925,9342.219999999988
10.01.206-6,2012-09-20,0.0,0.0,6.3987,12.71,4336.7272,8238.98,4127.808399999993,8170.539999999988
10.01.206-6,2012-09-21,0.0,0.0,66.5883,132.29,4336.7272,8238.98,3160.128499999993,6248.019999999989
10.01.206-6,2012-09-24,0.0,0.0,5.5985,11.13,4336.7272,8238.98,10395.680699999992,20648.739999999987
10.01.206-6,2012-09-25,0.0,0.0,3.4983,6.95,4336.7272,8238.98,10168.532999999992,20200.48999999999
10.01.206-6,2012-09-26,0.0,0.0,2.7992,5.56,4336.7272,8238.98,10084.154099999992,20032.849999999988
10.01.206-6,2012-09-27,0.0,0.0,94.3242,187.4,4336.7272,8238.98,8622.996099999991,17129.899999999983
10.01.206-6,2012-09-28,0.0,0.0,4.2985,8.54,4336.7272,8238.98,7821.690799999994,15537.89999999998
10.01.206-6,2012-10-01,66.5883,132.27,0.0,0.0,4336.7272,8238.98,7624.716599999993,15157.759999999978
10.01.206-6,2012-10-02,0.0,0.0,81.8076,162.49,4336.7272,8238.98,6815.923499999993,13551.219999999981
